,year_predict
2017-10-01,299.17859044467076
2017-11-01,282.2154777465946
2017-12-01,258.8700740384605
2018-01-01,223.03571856051542
2018-02-01,224.49039246915225
2018-03-01,239.7602585470458
2018-04-01,250.480123001606
2018-05-01,264.63714634167565
2018-06-01,257.8933637670342
2018-07-01,317.037620260666
2018-08-01,324.08521179325896
2018-09-01,328.8852959117427
